sample	mode	group	total_reads	classified_reads	unclassified_reads	unclassified_pct	classified_pct
SRR1313288	strict	ctl	2179704	139324	2040380	93.6081229377934	6.391877062206612
SRR1313289	strict	ctl	2793571	334548	2459023	88.02436021851602	11.975639781483986
SRR1313290	strict	ctl	2425138	153788	2271350	93.6585876762477	6.341412323752298
SRR1313291	strict	ctl	1959612	104829	1854783	94.65052265448466	5.349477345515337
SRR1313292	strict	ctl	3310096	197985	3112111	94.01875353464068	5.9812464653593125
SRR1313293	strict	ctl	2227252	254291	1972961	88.58274681086829	11.417253189131719
SRR1313294	strict	ctl	2845045	141988	2703057	95.00928807804446	4.9907119219555405
SRR1313295	strict	ctl	2740908	168440	2572468	93.85459125224196	6.145408747758043
SRR1313296	strict	cvd	1788161	169482	1618679	90.52199438417458	9.47800561582542
SRR1313297	strict	cvd	1395263	122610	1272653	91.21240941671928	8.787590583280714
SRR1313298	strict	cvd	2566928	202816	2364112	92.09888239950634	7.901117600493664
SRR1313299	strict	cvd	3075855	233167	2842688	92.41944109849132	7.580558901508687
SRR1313300	strict	cvd	4137591	385260	3752331	90.68878485089512	9.311215149104877
SRR1313301	strict	cvd	3537734	245066	3292668	93.0727974460488	6.927202553951202
SRR1313302	strict	cvd	4441688	243273	4198415	94.52296064018904	5.477039359810955
SRR1313303	strict	cvd	2944097	264756	2679341	91.00722564507895	8.99277435492105
SRR1313288	relaxed	ctl	10601106	624545	9976561	94.10868073576474	5.89131926423526
SRR1313289	relaxed	ctl	10330984	991539	9339445	90.4022792020586	9.597720797941415
SRR1313290	relaxed	ctl	11264372	654439	10609933	94.19018654568582	5.809813454314186
SRR1313291	relaxed	ctl	10876446	670183	10206263	93.83821700581237	6.161782994187623
SRR1313292	relaxed	ctl	13467964	782211	12685753	94.1920619924437	5.807938007556301
SRR1313293	relaxed	ctl	9791413	848649	8942764	91.33272184515147	8.667278154848539
SRR1313294	relaxed	ctl	12584462	776762	11807700	93.82761058835888	6.1723894116411175
SRR1313295	relaxed	ctl	11396373	755317	10641056	93.3723036267767	6.627696373223306
SRR1313296	relaxed	cvd	8437804	605827	7831977	92.82008683776016	7.179913162239844
SRR1313297	relaxed	cvd	8311024	690963	7620061	91.68618692473997	8.31381307526004
SRR1313298	relaxed	cvd	11679969	730965	10949004	93.7417214035414	6.258278596458604
SRR1313299	relaxed	cvd	12535287	656865	11878422	94.75987266984792	5.240127330152074
SRR1313300	relaxed	cvd	15262936	935095	14327841	93.87342644953762	6.126573550462375
SRR1313301	relaxed	cvd	14897289	756226	14141063	94.92373411028007	5.076265889719935
SRR1313302	relaxed	cvd	17836508	783104	17053404	95.60954420001943	4.390455799980579
SRR1313303	relaxed	cvd	14031429	837382	13194047	94.03209751480053	5.967902485199477
